world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
20,6659.22395,"[[ 7.67895320e-03 -1.53651008e-03 -2.22978463e+00]
 [-6.42813062e-04 -4.20059252e-03  2.83266802e+00]
 [-1.08842875e-04 -3.77287140e-04  1.27551391e+00]]","[[ 1.29021939e+02 -8.42594855e+01  4.12673106e+02]
 [-1.53893545e+01 -2.87328865e+02  6.11198620e+02]
 [ 6.45772119e-03 -9.21797322e-02  1.00000000e+00]]",7,"[[ 8.98099539e-03 -2.01665402e-03 -2.67175825e+00]
 [-4.56772395e-04 -4.67852976e-03  2.97238547e+00]
 [ 2.50999959e-04 -5.73137720e-04  1.23192000e+00]]","[[ 9.45524485e+01 -9.35196742e+01  4.30708004e+02]
 [-3.04798783e+01 -2.73282503e+02  5.93273974e+02]
 [-3.34452144e-02 -1.08087438e-01  1.00000000e+00]]"
21,6659.391501999999,"[[ 7.64535968e-03 -1.55886147e-03 -2.16473804e+00]
 [-6.67089071e-04 -4.19264088e-03  2.82764858e+00]
 [-1.16430167e-04 -3.76052500e-04  1.27668134e+00]]","[[ 1.29609688e+02 -8.47347573e+01  4.07440073e+02]
 [-1.57863738e+01 -2.87321116e+02  6.09603788e+02]
 [ 7.17013089e-03 -9.23593868e-02  1.00000000e+00]]",7,"[[ 8.97742774e-03 -2.03935069e-03 -2.61845456e+00]
 [-4.76548789e-04 -4.67163225e-03  2.96618514e+00]
 [ 2.52448996e-04 -5.68777761e-04  1.22886689e+00]]","[[ 9.44677462e+01 -9.31090113e+01  4.26033177e+02]
 [-3.10974496e+01 -2.72495750e+02  5.91476255e+02]
 [-3.38001013e-02 -1.06996329e-01  1.00000000e+00]]"
22,6659.559053999998,"[[ 7.64754184e-03 -1.56915758e-03 -2.17283029e+00]
 [-6.55463098e-04 -4.19250263e-03  2.81625562e+00]
 [-1.14565280e-04 -3.75214107e-04  1.27490033e+00]]","[[ 1.29592389e+02 -8.50928544e+01  4.08836272e+02]
 [-1.55029195e+01 -2.87116185e+02  6.07817992e+02]
 [ 7.08280797e-03 -9.21473838e-02  1.00000000e+00]]",7,"[[ 8.96651842e-03 -2.04259977e-03 -2.62471120e+00]
 [-4.65776937e-04 -4.66595471e-03  2.95191530e+00]
 [ 2.51639407e-04 -5.66011400e-04  1.22647062e+00]]","[[ 9.46939857e+01 -9.32675924e+01  4.27130000e+02]
 [-3.07108642e+01 -2.72446571e+02  5.90011726e+02]
 [-3.36016508e-02 -1.06596979e-01  1.00000000e+00]]"
23,6659.760116999998,"[[ 7.72459224e-03 -1.46145902e-03 -2.36607779e+00]
 [-5.77504552e-04 -4.22791668e-03  2.75776229e+00]
 [-9.78204389e-05 -3.91139043e-04  1.27372589e+00]]","[[ 1.28542137e+02 -8.31856633e+01  4.18886815e+02]
 [-1.39037677e+01 -2.86767810e+02  5.95057432e+02]
 [ 5.60225864e-03 -9.44499488e-02  1.00000000e+00]]",7,"[[ 8.93015224e-03 -1.85845072e-03 -2.80766612e+00]
 [-3.94331208e-04 -4.64973765e-03  2.86679560e+00]
 [ 2.45149338e-04 -5.58023339e-04  1.21681299e+00]]","[[ 9.60372524e+01 -9.05943878e+01  4.35034913e+02]
 [-2.79872323e+01 -2.73445238e+02  5.79655877e+02]
 [-3.21832509e-02 -1.07148487e-01  1.00000000e+00]]"
24,6659.927668999997,"[[ 7.74093565e-03 -1.39566028e-03 -2.44385416e+00]
 [-5.37281658e-04 -4.23809358e-03  2.71832471e+00]
 [-9.10618868e-05 -3.99101145e-04  1.27304946e+00]]","[[ 1.28451838e+02 -8.20131845e+01  4.21708694e+02]
 [-1.30063655e+01 -2.87038353e+02  5.87940856e+02]
 [ 5.11072943e-03 -9.58530006e-02  1.00000000e+00]]",7,"[[ 8.89919110e-03 -1.75300735e-03 -2.88387944e+00]
 [-3.55929216e-04 -4.63421555e-03  2.81380478e+00]
 [ 2.42409195e-04 -5.52205674e-04  1.21080625e+00]]","[[ 9.69154584e+01 -8.87393292e+01  4.37053945e+02]
 [-2.65869106e+01 -2.74079848e+02  5.73612617e+02]
 [-3.15282823e-02 -1.07232035e-01  1.00000000e+00]]"
25,6660.0617099999945,"[[ 7.74428615e-03 -1.36749204e-03 -2.45362973e+00]
 [-5.20890763e-04 -4.22317528e-03  2.70561255e+00]
 [-9.16145052e-05 -4.01382956e-04  1.27486795e+00]]","[[ 1.28614244e+02 -8.16396531e+01  4.20794173e+02]
 [-1.24542514e+01 -2.88713095e+02  5.88757176e+02]
 [ 5.32134022e-03 -9.67660160e-02  1.00000000e+00]]",7,"[[ 8.90950105e-03 -1.72586464e-03 -2.89625548e+00]
 [-3.37673382e-04 -4.62117206e-03  2.80112769e+00]
 [ 2.43165140e-04 -5.55016464e-04  1.21263160e+00]]","[[ 9.69727231e+01 -8.86192601e+01  4.36316886e+02]
 [-2.61191952e+01 -2.75611998e+02  5.74268834e+02]
 [-3.14002778e-02 -1.08375933e-01  1.00000000e+00]]"
26,6660.195752,"[[ 7.73256280e-03 -1.31175724e-03 -2.49669025e+00]
 [-4.84560677e-04 -4.24905525e-03  2.69137714e+00]
 [-8.65685860e-05 -4.02678046e-04  1.27221855e+00]]","[[ 1.29045907e+02 -7.98467455e+01  4.22164386e+02]
 [-1.14499481e+01 -2.87276289e+02  5.85262543e+02]
 [ 5.15688046e-03 -9.63608609e-02  1.00000000e+00]]",7,"[[ 8.86760028e-03 -1.65271007e-03 -2.93392190e+00]
 [-3.03883581e-04 -4.63838521e-03  2.78296185e+00]
 [ 2.40227267e-04 -5.51857824e-04  1.21023306e+00]]","[[ 9.79432492e+01 -8.69315669e+01  4.37341447e+02]
 [-2.48912858e+01 -2.74698255e+02  5.71332662e+02]
 [-3.07916641e-02 -1.08004857e-01  1.00000000e+00]]"
27,6660.363303999999,"[[ 7.74017056e-03 -1.31564016e-03 -2.54177961e+00]
 [-4.73299153e-04 -4.25388135e-03  2.58472330e+00]
 [-8.08446604e-05 -4.29326595e-04  1.27487846e+00]]","[[ 1.28574946e+02 -8.25234605e+01  4.23655669e+02]
 [-1.17572561e+01 -2.88009877e+02  5.60478121e+02]
 [ 4.19404305e-03 -1.02222984e-01  1.00000000e+00]]",7,"[[ 8.79650616e-03 -1.55978595e-03 -2.98925183e+00]
 [-2.90773505e-04 -4.57332965e-03  2.63825328e+00]
 [ 2.37949629e-04 -5.33504432e-04  1.18890946e+00]]","[[ 9.90528783e+01 -8.47831933e+01  4.37185129e+02]
 [-2.39283717e+01 -2.74551466e+02  5.49081659e+02]
 [-3.05620312e-02 -1.06232055e-01  1.00000000e+00]]"
28,6660.530855999998,"[[ 7.47440211e-03 -1.31400809e-03 -1.98292405e+00]
 [-5.40319995e-04 -4.16292374e-03  2.57987958e+00]
 [-1.49885927e-04 -4.20894015e-04  1.29569368e+00]]","[[ 1.35364356e+02 -7.97211274e+01  3.65895235e+02]
 [-9.84754462e+00 -2.94963698e+02  5.72237017e+02]
 [ 1.24600742e-02 -1.05038353e-01  1.00000000e+00]]",7,"[[ 8.96107226e-03 -1.64977142e-03 -2.56129266e+00]
 [-3.07128087e-04 -4.60425960e-03  2.67714712e+00]
 [ 2.69635011e-04 -5.51829574e-04  1.20192837e+00]]","[[ 9.71287960e+01 -8.13178389e+01  3.88105565e+02]
 [-2.61218199e+01 -2.74415497e+02  5.55561419e+02]
 [-3.37824762e-02 -1.07747228e-01  1.00000000e+00]]"
29,6660.664897999988,"[[ 7.59722154e-03 -1.59207881e-03 -2.07803967e+00]
 [-5.68537158e-04 -4.19096281e-03  2.67438699e+00]
 [-1.30250922e-04 -4.09135827e-04  1.29068269e+00]]","[[ 1.31777010e+02 -8.87184066e+01  3.95996017e+02]
 [-1.17716205e+01 -2.91189054e+02  5.84411899e+02]
 [ 9.56694114e-03 -1.01257675e-01  1.00000000e+00]]",7,"[[ 8.94215202e-03 -1.98409065e-03 -2.57831108e+00]
 [-3.59747983e-04 -4.62609497e-03  2.77877423e+00]
 [ 2.53087233e-04 -5.67331900e-04  1.21760186e+00]]","[[ 9.63915526e+01 -9.21696016e+01  4.14458895e+02]
 [-2.71215425e+01 -2.74245238e+02  5.68443470e+02]
 [-3.26727389e-02 -1.08624278e-01  1.00000000e+00]]"
30,6660.798939,"[[ 7.82233517e-03 -1.60996827e-03 -2.57443745e+00]
 [-6.11464440e-04 -4.20840065e-03  2.78751160e+00]
 [-7.73235997e-05 -3.90270571e-04  1.26782105e+00]]","[[ 1.25283753e+02 -8.98384421e+01  4.51925675e+02]
 [-1.65080150e+01 -2.86640758e+02  5.96705335e+02]
 [ 2.55935040e-03 -9.37151848e-02  1.00000000e+00]]",7,"[[ 8.84541582e-03 -1.98190050e-03 -2.95200264e+00]
 [-4.63381430e-04 -4.58183790e-03  2.88764011e+00]
 [ 2.14068342e-04 -5.53992263e-04  1.22370821e+00]]","[[ 9.66810009e+01 -9.79730757e+01  4.64419171e+02]
 [-2.85957093e+01 -2.76406942e+02  5.83267446e+02]
 [-2.98585422e-02 -1.07995004e-01  1.00000000e+00]]"
31,6660.932980999991,"[[ 7.72896538e-03 -1.50402738e-03 -2.48828256e+00]
 [-6.86452250e-04 -4.15814701e-03  2.91191069e+00]
 [-8.70054393e-05 -3.57404552e-04  1.26271901e+00]]","[[ 1.26914767e+02 -8.40649863e+01  4.43954298e+02]
 [-1.84936034e+01 -2.87694900e+02  6.26999780e+02]
 [ 3.51034313e-03 -8.72225546e-02  1.00000000e+00]]",7,"[[ 8.86078564e-03 -1.98372065e-03 -2.85980287e+00]
 [-5.44476866e-04 -4.61995585e-03  3.06533409e+00]
 [ 2.16127575e-04 -5.63503802e-04  1.24414949e+00]]","[[ 9.56906355e+01 -9.70940479e+01  4.59174764e+02]
 [-3.18901606e+01 -2.77086771e+02  6.09383324e+02]
 [-3.10666941e-02 -1.08632241e-01  1.00000000e+00]]"
32,6661.134042999998,"[[ 7.38179300e-03 -1.57265686e-03 -1.86413367e+00]
 [-7.41145318e-04 -4.05938448e-03  2.87147239e+00]
 [-1.47813392e-04 -3.37765667e-04  1.27236022e+00]]","[[ 1.34756373e+02 -8.45015472e+01  3.88135170e+02]
 [-1.66573522e+01 -2.92850395e+02  6.36502366e+02]
 [ 1.12330727e-02 -8.75579630e-02  1.00000000e+00]]",7,"[[ 8.88907822e-03 -2.18056682e-03 -2.32184979e+00]
 [-5.45662617e-04 -4.63114119e-03  3.06332870e+00]
 [ 2.45650096e-04 -5.70388386e-04  1.24852894e+00]]","[[ 9.52588938e+01 -9.55429182e+01  4.11569320e+02]
 [-3.38504107e+01 -2.75486720e+02  6.12970020e+02]
 [-3.42068463e-02 -1.07057430e-01  1.00000000e+00]]"
