world_index,world_timestamp,img_to_surf_trans,surf_to_img_trans,num_detected_markers,dist_img_to_surf_trans,surf_to_dist_img_trans
20,6659.22395,"[[ 2.11441637e-03 -4.06101256e-04 -6.24354257e-01]
 [-5.74099146e-04 -3.89289299e-03  2.61624611e+00]
 [-1.48006734e-04 -7.51169812e-05  1.10698979e+00]]","[[ 4.85905429e+02 -5.86518982e+01  4.12673112e+02]
 [-2.93348190e+01 -2.65611845e+02  6.11198622e+02]
 [ 6.29759485e-02 -2.58654921e-02  1.00000000e+00]]",7,"[[ 2.34572229e-03 -5.08514082e-04 -7.08633225e-01]
 [-5.66335574e-04 -4.31776417e-03  2.80554232e+00]
 [-6.70576608e-05 -1.95890102e-04  1.14509877e+00]]","[[ 4.21906350e+02 -6.92295238e+01  4.30708014e+02]
 [-4.41979012e+01 -2.53311946e+02  5.93273962e+02]
 [ 1.71462253e-02 -4.73877663e-02  1.00000000e+00]]"
21,6659.391501999999,"[[ 2.10527257e-03 -4.12279619e-04 -6.06445202e-01]
 [-5.96664437e-04 -3.88559285e-03  2.61177714e+00]
 [-1.53581040e-04 -7.41817638e-05  1.10779656e+00]]","[[ 4.87846020e+02 -5.95413887e+01  4.07440079e+02]
 [-3.08398329e+01 -2.65726979e+02  6.09603790e+02]
 [ 6.55681275e-02 -2.60485774e-02  1.00000000e+00]]",7,"[[ 2.34486649e-03 -5.14464040e-04 -6.94697686e-01]
 [-5.84665189e-04 -4.31099359e-03  2.79893706e+00]
 [-6.42056438e-05 -1.91093721e-04  1.14038113e+00]]","[[ 4.20896213e+02 -6.91135877e+01  4.26033187e+02]
 [-4.67874434e+01 -2.52599991e+02  5.91476243e+02]
 [ 1.58570896e-02 -4.62194200e-02  1.00000000e+00]]"
22,6659.559053999998,"[[ 2.10582710e-03 -4.15111830e-04 -6.08626074e-01]
 [-5.85895743e-04 -3.88549299e-03  2.60120799e+00]
 [-1.52530135e-04 -7.32416544e-05  1.10687745e+00]]","[[ 4.87840732e+02 -5.98256914e+01  4.08836278e+02]
 [-2.98801859e+01 -2.65632696e+02  6.07817994e+02]
 [ 6.52483602e-02 -2.58209244e-02  1.00000000e+00]]",7,"[[ 2.34197820e-03 -5.15333656e-04 -6.96276277e-01]
 [-5.74478616e-04 -4.30566399e-03  2.78576925e+00]
 [-6.52824267e-05 -1.88564900e-04  1.13913958e+00]]","[[ 4.21920058e+02 -6.92045022e+01  4.27130010e+02]
 [-4.55257976e+01 -2.52642688e+02  5.90011714e+02]
 [ 1.66436125e-02 -4.57866461e-02  1.00000000e+00]]"
23,6659.760116999998,"[[ 2.12671203e-03 -3.85353248e-04 -6.61544326e-01]
 [-5.13515150e-04 -3.91798319e-03  2.54652975e+00]
 [-1.41917006e-04 -8.79210845e-05  1.11176526e+00]]","[[ 4.84388671e+02 -5.70420342e+01  4.18886821e+02]
 [-2.45609487e+01 -2.66170987e+02  5.95057434e+02]
 [ 5.98899490e-02 -2.83308696e-02  1.00000000e+00]]",7,"[[ 2.33221473e-03 -4.67333679e-04 -7.43702145e-01]
 [-5.07482608e-04 -4.29349216e-03  2.70952057e+00]
 [-7.49364054e-05 -1.88734797e-04  1.14200119e+00]]","[[ 4.28446252e+02 -6.57584969e+01  4.35034922e+02]
 [-3.67302730e+01 -2.54393370e+02  5.79655865e+02]
 [ 2.20437086e-02 -4.63577334e-02  1.00000000e+00]]"
24,6659.927668999997,"[[ 2.13104910e-03 -3.67217108e-04 -6.82780004e-01]
 [-4.76234189e-04 -3.92722464e-03  2.50980793e+00]
 [-1.38069483e-04 -9.59013476e-05  1.11460942e+00]]","[[ 4.84156429e+02 -5.55692572e+01  4.21708700e+02]
 [-2.15692240e+01 -2.66973201e+02  5.87940859e+02]
 [ 5.81178563e-02 -2.98539629e-02  1.00000000e+00]]",7,"[[ 2.32398780e-03 -4.39872751e-04 -7.63391503e-01]
 [-4.71292273e-04 -4.28072485e-03  2.66145789e+00]
 [-7.89357822e-05 -1.87987286e-04  1.14233107e+00]]","[[ 4.32240185e+02 -6.36086820e+01  4.37053954e+02]
 [-3.23255718e+01 -2.55473729e+02  5.73612606e+02]
 [ 2.45484179e-02 -4.64373379e-02  1.00000000e+00]]"
25,6660.0617099999945,"[[ 2.13190630e-03 -3.59528683e-04 -6.85418669e-01]
 [-4.61051170e-04 -3.91333708e-03  2.49801294e+00]
 [-1.39772616e-04 -9.95013953e-05  1.11739766e+00]]","[[ 4.84707687e+02 -5.52305922e+01  4.20794179e+02]
 [-1.95123907e+01 -2.68713600e+02  5.88757178e+02]
 [ 5.88934035e-02 -3.08369202e-02  1.00000000e+00]]",7,"[[ 2.32660910e-03 -4.32838353e-04 -7.66573286e-01]
 [-4.54482665e-04 -4.26902664e-03  2.64986737e+00]
 [-7.97462558e-05 -1.92681965e-04  1.14544588e+00]]","[[ 4.32355164e+02 -6.35297732e+01  4.36316895e+02]
 [-3.05327323e+01 -2.57069257e+02  5.74268823e+02]
 [ 2.49646003e-02 -4.76660417e-02  1.00000000e+00]]"
26,6660.195752,"[[ 2.12853959e-03 -3.44098777e-04 -6.97205492e-01]
 [-4.27450679e-04 -3.93714311e-03  2.48471685e+00]
 [-1.37070209e-04 -9.96384281e-05  1.11618080e+00]]","[[ 4.86310698e+02 -5.31864622e+01  4.22164391e+02]
 [-1.60108333e+01 -2.67403369e+02  5.85262546e+02]
 [ 5.82911071e-02 -3.04018227e-02  1.00000000e+00]]",7,"[[ 2.31554457e-03 -4.13679918e-04 -7.76334793e-01]
 [-4.22407653e-04 -4.28618356e-03  2.63357299e+00]
 [-8.32253187e-05 -1.91250995e-04  1.14566582e+00]]","[[ 4.36340512e+02 -6.16276209e+01  4.37341457e+02]
 [-2.62147317e+01 -2.56270739e+02  5.71332650e+02]
 [ 2.73212171e-02 -4.72572466e-02  1.00000000e+00]]"
27,6660.363303999999,"[[ 2.13058774e-03 -3.45147762e-04 -7.09187819e-01]
 [-4.17004551e-04 -3.94162151e-03  2.38585897e+00]
 [-1.32194024e-04 -1.25916990e-04  1.12657847e+00]]","[[ 4.84684483e+02 -5.59752406e+01  4.23655676e+02]
 [-1.80746759e+01 -2.70024730e+02  5.60478125e+02]
 [ 5.48532438e-02 -3.67486995e-02  1.00000000e+00]]",7,"[[ 2.29693951e-03 -3.89675088e-04 -7.90224379e-01]
 [-4.09097825e-04 -4.22716802e-03  2.49991188e+00]
 [-8.35925110e-05 -1.80652123e-04  1.13573817e+00]]","[[ 4.40709021e+02 -5.93096249e+01  4.37185138e+02]
 [-2.59048559e+01 -2.57642536e+02  5.49081649e+02]
 [ 2.83165675e-02 -4.53462892e-02  1.00000000e+00]]"
28,6660.530855999998,"[[ 2.05775794e-03 -3.45055648e-04 -5.55470219e-01]
 [-4.79775287e-04 -3.85741317e-03  2.38290210e+00]
 [-1.93810653e-04 -1.23686010e-04  1.14169211e+00]]","[[ 5.07115812e+02 -5.70950758e+01  3.65895239e+02]
 [-1.06037301e+01 -2.76641052e+02  5.72237018e+02]
 [ 8.49378853e-02 -3.96624112e-02  1.00000000e+00]]",7,"[[ 2.33995251e-03 -4.13042939e-04 -6.78677899e-01]
 [-4.26898607e-04 -4.25450375e-03  2.52931982e+00]
 [-5.72244082e-05 -1.93519285e-04  1.12972096e+00]]","[[ 4.26083002e+02 -5.90189840e+01  3.88105575e+02]
 [-3.33151067e+01 -2.57080812e+02  5.55561407e+02]
 [ 1.58758071e-02 -4.70270300e-02  1.00000000e+00]]"
29,6660.664897999988,"[[ 2.09164686e-03 -4.21421716e-04 -5.81999966e-01]
 [-5.05561666e-04 -3.88413012e-03  2.47013228e+00]
 [-1.73582636e-04 -1.07020664e-04  1.13128218e+00]]","[[ 4.95328260e+02 -6.46533033e+01  3.95996020e+02]
 [-1.71711611e+01 -2.71697347e+02  5.84411902e+02]
 [ 7.43781854e-02 -3.56232265e-02  1.00000000e+00]]",7,"[[ 2.33521486e-03 -5.00214969e-04 -6.83506667e-01]
 [-4.75520278e-04 -4.26952982e-03  2.62406991e+00]
 [-6.96747018e-05 -1.94697504e-04  1.13955182e+00]]","[[ 4.26566849e+02 -6.88762581e+01  4.14458906e+02]
 [-3.51728130e+01 -2.56018953e+02  5.68443459e+02]
 [ 2.00718025e-02 -4.79532241e-02  1.00000000e+00]]"
30,6660.798939,"[[ 2.15372691e-03 -4.26273381e-04 -7.18964902e-01]
 [-5.44686364e-04 -3.90032209e-03  2.57350076e+00]
 [-1.20166061e-04 -8.67768323e-05  1.10608633e+00]]","[[ 4.73885140e+02 -6.18465076e+01  4.51925682e+02]
 [-3.39676354e+01 -2.65952574e+02  5.96705337e+02]
 [ 4.88183476e-02 -2.75840794e-02  1.00000000e+00]]",7,"[[ 2.31036205e-03 -4.99811887e-04 -7.81452450e-01]
 [-5.70341087e-04 -4.22841900e-03  2.73117644e+00]
 [-9.83239551e-05 -1.84273456e-04  1.15314424e+00]]","[[ 4.34910326e+02 -7.16469864e+01  4.64419180e+02]
 [-3.87046052e+01 -2.57338661e+02  5.83267435e+02]
 [ 3.08980185e-02 -4.72319923e-02  1.00000000e+00]]"
31,6660.932980999991,"[[ 2.12834211e-03 -3.97334253e-04 -6.95758158e-01]
 [-6.14361398e-04 -3.85351037e-03  2.68889855e+00]
 [-1.23742058e-04 -5.84707384e-05  1.09159696e+00]]","[[ 4.79446417e+02 -5.61718535e+01  4.43954307e+02]
 [-4.00091625e+01 -2.64892016e+02  6.26999781e+02]
 [ 5.22063760e-02 -2.05563531e-02  1.00000000e+00]]",7,"[[ 2.31468236e-03 -5.00141748e-04 -7.58065711e-01]
 [-6.45977085e-04 -4.26382813e-03  2.89492209e+00]
 [-9.16716616e-05 -1.91276353e-04  1.15865393e+00]]","[[ 4.30372952e+02 -7.10809037e+01  4.59174773e+02]
 [-4.73958447e+01 -2.56308637e+02  6.09383313e+02]
 [ 2.62263808e-02 -4.79365619e-02  1.00000000e+00]]"
32,6661.134042999998,"[[ 2.03307589e-03 -4.16596331e-04 -5.23943715e-01]
 [-6.65942178e-04 -3.76226857e-03  2.65316843e+00]
 [-1.77085085e-04 -4.48058500e-05  1.09725198e+00]]","[[ 5.05812959e+02 -6.06311181e+01  3.88135175e+02]
 [-3.29114856e+01 -2.69733063e+02  6.36502367e+02]
 [ 8.02890360e-02 -2.07996762e-02  1.00000000e+00]]",7,"[[ 2.32207107e-03 -5.51474775e-04 -6.17655735e-01]
 [-6.47525806e-04 -4.27112174e-03  2.88457129e+00]
 [-6.31673143e-05 -1.89833889e-04  1.14236021e+00]]","[[ 4.21566369e+02 -7.27239924e+01  4.11569330e+02]
 [-5.42579291e+01 -2.54368914e+02  6.12970008e+02]
 [ 1.42942843e-02 -4.62915454e-02  1.00000000e+00]]"
