# timestamps [seconds],pts
6717.364494,3963967
6717.465026,3970556
6717.666088,3983732
6717.833640,3994713
6717.934171,4001301
6718.101723,4012282
6718.235765,4021066
6718.336296,4027654
6718.537358,4040831
6718.671400,4049615
6718.838952,4060596
6719.006504,4071576
6719.140546,4080361
6719.274587,4089145
6719.609691,4111106
6719.810754,4124283
6719.944795,4133067
6720.112347,4144048
6720.279899,4155028
6720.447451,4166009
6720.615003,4176989
6720.816066,4190166
6721.017128,4203343
6721.218190,4216519
6721.385742,4227500
6721.519784,4236284
6721.754357,4251657
6721.921909,4262638
6722.055950,4271422
6722.223502,4282402
6722.424565,4295579
6722.558606,4304363
6722.759669,4317540
6722.960731,4330717
6723.161794,4343893
6723.362856,4357070
6723.496898,4365854
6723.697960,4379031
6723.899022,4392208
6724.066574,4403188
6724.234126,4414169
6724.435189,4427345
6724.669762,4442718
6724.803803,4451502
6725.038376,4466875
6725.205928,4477856
6725.306459,4484444
6725.507522,4497621
6725.708584,4510797
6725.909646,4523974
6726.110709,4537151
6726.311771,4550327
6726.512834,4563504
6726.713896,4576680
6726.847938,4585465
6727.015490,4596445
6727.149531,4605230
6727.317083,4616210
6727.451125,4624995
6727.652187,4638171
6727.786229,4646956
6727.920270,4655740
6728.121333,4668917
6728.221864,4675505
6728.355906,4684290
6728.489947,4693074
6728.657499,4704054
6728.791541,4712839
6728.992603,4726015
6729.126645,4734800
6729.260686,4743584
6729.495259,4758957
6729.662811,4769938
6729.796853,4778722
6729.964405,4789703
6730.098446,4798487
6730.265998,4809467
6730.400040,4818252
6730.634613,4833625
6730.835675,4846801
6731.070248,4862174
6731.204290,4870958
6731.338331,4879743
6731.539394,4892919
6731.740456,4906096
6731.874498,4914880
6732.109070,4930253
6732.243112,4939038
6732.410664,4950018
6732.611726,4963195
6732.745768,4971979
6732.879810,4980764
6733.080872,4993940
6733.281934,5007117
6733.449486,5018097
6733.650549,5031274
6733.751080,5037862
6733.952142,5051039
6734.153205,5064216
6734.320757,5075196
6734.488309,5086177
6734.789902,5105941
6734.990965,5119118
6735.158517,5130099
6735.493621,5152060
6735.661173,5163040
6735.895746,5178413
6736.130318,5193786
6736.331381,5206962
6736.465422,5215747
6736.632974,5226727
6736.800526,5237708
6736.934568,5246492
6737.169141,5261865
6737.303182,5270649
6737.437224,5279434
6737.638286,5292610
6737.906370,5310179
6738.107432,5323356
6738.375515,5340925
6738.509557,5349709
6738.643598,5358493
6738.878171,5373866
6739.045723,5384847
6739.246786,5398023
6739.514869,5415592
6739.682421,5426573
6739.849973,5437553
6740.017525,5448534
6740.218587,5461710
6740.319118,5468299
6740.486670,5479279
6740.654222,5490260
6740.855285,5503436
6741.089858,5518809
6741.257410,5529790
6741.357941,5536378
6741.592514,5551751
6741.760066,5562731
6741.927618,5573712
6742.162190,5589084
6742.262722,5595673
6742.430274,5606653
6742.597826,5617634
6742.731867,5626418
6742.932930,5639595
6743.133992,5652771
6743.301544,5663752
6743.435586,5672536
6743.636648,5685713
6743.804200,5696693
6743.971752,5707674
6744.139304,5718655
6744.340366,5731831
6744.507918,5742812
6744.742491,5758184
6744.910043,5769165
6745.044085,5777949
6745.278658,5793322
6745.446210,5804303
6745.613762,5815283
6745.848334,5830656
6746.015886,5841636
6746.183438,5852617
6746.350990,5863597
6746.518542,5874578
6746.686094,5885558
6746.853646,5896539
6747.021198,5907519
6747.222261,5920696
6747.423323,5933873
6747.590875,5944853
6747.758427,5955834
6747.959490,5969010
6748.093531,5977795
6748.227573,5986579
6748.462146,6001952
6748.629698,6012932
6748.763739,6021717
6748.931291,6032697
6749.132354,6045874
6749.266395,6054658
6749.400437,6063443
6749.534478,6072227
6749.635010,6078816
6749.836072,6091992
6749.970114,6100777
6750.104155,6109561
6750.271707,6120542
6750.405749,6129326
6750.506280,6135914
6750.707342,6149091
6750.841384,6157875
6750.975426,6166660
6751.109467,6175444
6751.277019,6186425
6751.411061,6195209
6751.578613,6206190
6751.712654,6214974
6751.846696,6223758
6752.047758,6236935
6752.215310,6247916
6752.382862,6258896
6752.550414,6269877
6752.717966,6280857
6752.885518,6291838
6753.053070,6302818
6753.287643,6318191
6753.488706,6331368
6753.890830,6357721
6754.158914,6375290
6754.359976,6388466
6754.628059,6406035
6754.795611,6417016
6754.963163,6427996
6755.164226,6441173
6755.298267,6449957
6755.398798,6456545
6755.566350,6467526
6755.666882,6474114
6755.834434,6485095
6756.001986,6496075
6756.169538,6507056
6756.303579,6515840
6756.504642,6529017
6756.672194,6539997
6756.839746,6550978
6757.007298,6561958
6757.141339,6570743
6757.275381,6579527
6757.543464,6597096
6757.811547,6614665
6758.012610,6627842
6758.247182,6643214
6758.414734,6654195
6758.582286,6665175
6758.749838,6676156
6758.950901,6689333
6759.084942,6698117
6759.319515,6713490
6759.554088,6728862
6759.755150,6742039
6759.956213,6755216
6760.157275,6768392
6760.458869,6788157
6760.726952,6805726
6760.995035,6823295
6761.229608,6838668
6761.397160,6849648
6761.531202,6858433
6761.732264,6871609
6762.000347,6889178
6762.234920,6904551
6762.402472,6915531
6762.570024,6926512
6762.737576,6937492
6762.938638,6950669
6763.374274,6979218
6763.709378,7001179
6763.910440,7014356
6764.111502,7027533
6764.279054,7038513
6764.379586,7045101
6764.714690,7067062
6765.049794,7089023
6765.284366,7104396
6765.585960,7124161
6765.753512,7135142
6766.088616,7157103
6766.356699,7174671
6766.524251,7185652
6766.691803,7196633
6766.859355,7207613
6767.060418,7220790
6767.160949,7227378
6767.429032,7244947
6767.596584,7255927
6767.764136,7266908
6767.998709,7282281
6768.199771,7295457
6768.367323,7306438
6768.635406,7324007
6768.769448,7332791
6769.037531,7350360
6769.272104,7365733
6769.439656,7376713
6769.573698,7385498
6769.774760,7398674
6769.908802,7407459
6770.042843,7416243
6770.277416,7431616
6770.545499,7449184
6770.713051,7460165
6770.847093,7468949
6771.048155,7482126
6771.249218,7495303
6771.483790,7510675
6771.718363,7526048
6772.019957,7545813
6772.187509,7556794
6772.288040,7563382
6772.422082,7572166
6772.556123,7580951
6772.723675,7591931
6772.824206,7598520
6773.025269,7611696
6773.192821,7622677
6773.293352,7629265
6773.427394,7638049
6773.561435,7646834
6773.695477,7655618
6773.829518,7664403
6773.930050,7670991
6774.064091,7679775
6774.231643,7690756
6774.365685,7699540
6774.466216,7706129
6774.633768,7717109
6774.801320,7728090
6774.901851,7734678
6775.069403,7745659
6775.270466,7758835
6775.404507,7767620
6775.572059,7778600
6775.907163,7800561
6776.074715,7811542
6776.275778,7824718
6776.476840,7837895
6776.644392,7848875
6776.945986,7868640
6777.113538,7879621
6777.247579,7888405
6777.448642,7901582
6777.582683,7910366
6777.750235,7921347
6777.951298,7934524
6778.085339,7943308
6778.252891,7954288
6778.487464,7969661
6778.688526,7982838
6778.822568,7991622
6778.990120,8002603
6779.291714,8022368
6779.459266,8033348
6779.660328,8046525
6779.894901,8061898
6780.062453,8072878
6780.263515,8086055
6780.431067,8097035
6780.598619,8108016
6780.833192,8123388
6781.000744,8134369
6781.168296,8145349
6781.402869,8160722
6781.570421,8171703
6781.704462,8180487
6781.872014,8191468
6782.006056,8200252
6782.106587,8206840
6782.274139,8217821
6782.475202,8230998
6782.575733,8237586
6782.910837,8259547
6783.078389,8270527
6783.178920,8277116
6783.312962,8285900
6783.447003,8294685
6783.547534,8301273
6783.715086,8312253
6783.815618,8318842
6783.949659,8327626
6784.083701,8336411
6784.217742,8345195
6784.351784,8353979
6784.519336,8364960
6784.653378,8373744
6784.753909,8380333
6784.887950,8389117
6785.021992,8397901
6785.156034,8406686
6785.290075,8415470
6785.390606,8422059
6785.558158,8433039
6785.725710,8444020
6785.893262,8455000
6786.027304,8463785
6786.194856,8474765
6786.395918,8487942
6786.563470,8498922
6786.764533,8512099
6786.932085,8523079
6787.099637,8534060
6787.300699,8547237
6787.434741,8556021
6787.602293,8567001
6787.702824,8573590
